Year,County,Geography_Type,Strata,Strata_Name,Count
1999,Fresno,Residence,Total Population,Total Population,14019
2000,Fresno,Residence,Total Population,Total Population,14262
2001,Fresno,Residence,Total Population,Total Population,14290
2002,Fresno,Residence,Total Population,Total Population,14766
2003,Fresno,Residence,Total Population,Total Population,15401
2004,Fresno,Residence,Total Population,Total Population,15896
2005,Fresno,Residence,Total Population,Total Population,15936
2006,Fresno,Residence,Total Population,Total Population,16876
2007,Fresno,Residence,Total Population,Total Population,17291
2008,Fresno,Residence,Total Population,Total Population,16760
2009,Fresno,Residence,Total Population,Total Population,16273
2010,Fresno,Residence,Total Population,Total Population,16281
2011,Fresno,Residence,Total Population,Total Population,16157
2012,Fresno,Residence,Total Population,Total Population,15953
2013,Fresno,Residence,Total Population,Total Population,15735
2014,Fresno,Residence,Total Population,Total Population,15796
2015,Fresno,Residence,Total Population,Total Population,15363
2016,Fresno,Residence,Total Population,Total Population,15134
2017,Fresno,Residence,Total Population,Total Population,14546
2018,Fresno,Residence,Total Population,Total Population,14413
2019,Fresno,Residence,Total Population,Total Population,14056
2020,Fresno,Residence,Total Population,Total Population,13830
2021,Fresno,Residence,Total Population,Total Population,13974
2022,Fresno,Residence,Total Population,Total Population,13946